cwavelength,ap_scatering,ap_ts,ap_flat
400.7,0.194766954,0.812947778,0.248463217
405,0.156334251,0.796179362,0.231694801
409.4,0.139303818,0.793836834,0.229352272
413.9,0.12344318,0.79167123,0.227186668
418.5,0.112777512,0.787088924,0.222604362
423,0.122299568,0.793427696,0.228943134
427.8,0.122302151,0.791614589,0.227130027
432.5,0.127451466,0.79623414,0.231749578
436.8,0.123376015,0.790093271,0.225608709
441.4,0.122742019,0.787984371,0.223499809
446.2,0.118862764,0.782729033,0.218244472
450.9,0.115523374,0.778019776,0.213535215
455.7,0.109438457,0.769720458,0.205235896
460.4,0.10568139,0.763347907,0.198863345
465.2,0.104448031,0.759721491,0.195236929
470.1,0.100049895,0.752877289,0.188392727
475,0.098041847,0.748265702,0.183781141
479.9,0.095368326,0.743373859,0.178889297
484.5,0.091919516,0.737321849,0.172837288
489,0.089744718,0.732354181,0.167869619
493.5,0.087257106,0.727095588,0.162611026
498.2,0.084957626,0.721587006,0.157102444
503.1,0.08144145,0.71584853,0.151363968
507.6,0.07924303,0.710128509,0.145643947
512.6,0.076848923,0.704536352,0.140051791
518,0.075150887,0.699590295,0.135105734
522.3,0.073968552,0.69448801,0.130003448
527.2,0.07264621,0.689632867,0.125148306
532,0.07191886,0.685582402,0.121097841
537,0.070344994,0.681086487,0.116601925
541.8,0.070671926,0.677810883,0.113326322
546.4,0.070882216,0.674258553,0.109773991
551,0.070558752,0.670386469,0.105901908
555.5,0.070110008,0.665890418,0.101405857
560.3,0.069183755,0.662048411,0.097563849
564.7,0.070369101,0.658208834,0.093724273
569.1,0.069482043,0.655336408,0.090851847
573.5,0.067523383,0.651502575,0.087018014
578,0.065479707,0.64747619,0.082991628
582.4,0.064888257,0.644331842,0.07984728
586.4,0.064203839,0.641185956,0.076701394
591.3,0.06200965,0.638035117,0.073550556
595.7,0.059981318,0.633470517,0.068985955
600.4,0.059715541,0.629752246,0.065267684
605.3,0.062174649,0.62693778,0.062453218
609.8,0.065020053,0.624247035,0.059762473
614.7,0.068715646,0.623185757,0.058701195
619.4,0.072311102,0.621932577,0.057448016
624,0.075725617,0.621437658,0.056953096
628.7,0.078368943,0.620890757,0.056406196
633.4,0.07982826,0.618907891,0.054423329
638,0.084283611,0.618690885,0.054206324
642.8,0.084914707,0.617283252,0.05279869
647.1,0.086197402,0.615643414,0.051158853
651.6,0.089801615,0.615905855,0.051421294
656.2,0.093594755,0.615588126,0.051103564
661.1,0.100594173,0.617249203,0.052764641
665,0.110822623,0.621549679,0.057065117
669.8,0.121521994,0.6264755,0.061990938
673.9,0.129739825,0.632141234,0.067656672
678.6,0.131518909,0.633193623,0.068709062
682.5,0.130471783,0.632319155,0.067834594
686.8,0.118770795,0.623821971,0.059337409
690.8,0.108142267,0.613848215,0.049363653
695,0.09670466,0.605092632,0.040608071
698.9,0.084410506,0.59513036,0.030645798
702.8,0.072918522,0.586560525,0.022075965
706.5,0.065094668,0.579979123,0.015494562
710,0.058486734,0.576683639,0.012199077
713.6,0.048440856,0.570390158,0.005905596
716.9,0.040329766,0.564484562,0
720.3,0.03057972,0.560615932,-0.003868629
723.7,0.018437716,0.552334153,-0.012150408
726.8,0.01421232,0.547700312,-0.01678425
730.2,0.008626733,0.544012721,-0.02047184
733.1,0.005187828,0.535184161,-0.0293004
736.2,0.007203742,0.529227766,-0.035256795
739.1,0.013910282,0.525254844,-0.039229718
741.8,0.019555401,0.522520607,-0.041963954
744.6,0.026527226,0.520848142,-0.043636419
747.2,0.029843043,0.518172547,-0.046312015
749.5,0.036506165,0.519782618,-0.044701944
752,NaN,0.520095267,-0.044389295