SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7297402688	7.4018695740	-0.1798331504	5.6742382480	34678	17.4429949399	112	425.9700000000	0	2017-198	18:07:31.713
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7335642712	7.4081317310	-0.4170200997	5.4899652464	34678	17.4453012248	113	426.0800000000	0	2017-198	18:07:31.827
0068	12.0600000000	4.9500000000	14.9700000000	36.0000000000	39.7335642712	7.3956074170	-0.5817126399	5.4150704399	34678	17.4453012248	114	426.1700000000	0	2017-198	18:07:31.997
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7335642712	7.4081317310	-0.6194886246	5.4704918784	34678	17.4453012248	115	426.2900000000	0	2017-198	18:07:32.027
0068	12.0600000000	4.9500000000	15.0000000000	36.0000000000	39.7297402688	7.4143938880	-0.5167400988	5.5993250730	34678	17.4429949399	116	426.3900000000	0	2017-198	18:07:32.137
0068	11.9700000000	4.9800000000	14.9700000000	36.0000000000	39.7335642712	7.4081317310	-0.3837815253	5.6592550156	34678	17.4476075085	117	426.4900000000	0	2017-198	18:07:32.307
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7373882990	7.3956074170	-0.3505436636	5.6607533254	34677	17.4499137911	118	426.6000000000	0	2017-198	18:07:32.337
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7412123519	7.4018695740	-0.6406435781	5.5169292047	34677	17.4476075085	119	426.7600000000	0	2017-198	18:07:32.507
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7373882990	7.4081317310	-0.9821849020	5.4330445125	34676	17.4522200725	120	426.9000000000	0	2017-198	18:07:32.647
0068	12.0600000000	4.9800000000	15.0000000000	35.5000000000	39.7373882990	7.4018695740	-1.0048562354	5.6367807271	34676	17.4614451868	121	427.0000000000	0	2017-198	18:07:32.737
0068	12.0900000000	4.9800000000	15.0000000000	35.5000000000	39.7335642712	7.4081317310	-0.7192216461	6.1823465073	34676	17.4522200725	122	427.1600000000	0	2017-198	18:07:32.913
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7335642712	7.4206560450	-0.3309034439	6.2333261566	34676	17.4453012248	123	427.3100000000	0	2017-198	18:07:33.069
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7373882990	7.4143938880	-0.1450890656	6.0474170427	34676	17.4406886537	124	427.4000000000	0	2017-198	18:07:33.225
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7335642712	7.4143938880	-0.0635190583	5.7251834721	34675	17.4406886537	125	427.5100000000	0	2017-198	18:07:33.256
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7335642712	7.4143938880	0.2808403029	4.4136962578	34675	17.4383823664	127	427.8100000000	0	2017-198	18:07:33.554
0068	12.0000000000	4.9800000000	14.9700000000	35.5000000000	39.7335642712	7.4394425160	0.5118806418	4.0323584158	34675	17.4406886537	128	427.9100000000	0	2017-198	18:07:33.727
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.7373882990	7.4269182020	0.6794765682	3.5496092866	34675	17.4406886537	129	428.0200000000	0	2017-198	18:07:33.757
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.7373882990	7.4331803590	0.6145541729	3.0283513323	34674	17.4406886537	130	428.1200000000	0	2017-198	18:07:33.867
0068	12.0600000000	4.9800000000	15.0000000000	35.5000000000	39.7412123519	7.4457046730	0.3201044909	2.5910145353	34674	17.4383823664	131	428.2200000000	0	2017-198	18:07:34.047
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7412123519	7.4519668300	-0.1919182320	2.1584080742	34674	17.4406886537	132	428.3300000000	0	2017-198	18:07:34.077
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7412123519	7.4644911440	-0.6436657378	1.6649469744	34674	17.4499137911	133	428.4400000000	0	2017-198	18:07:34.187
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7412123519	7.4644911440	-0.8763897267	1.1926641040	34673	17.4522200725	134	428.5300000000	0	2017-198	18:07:34.357
0068	12.0300000000	4.9500000000	14.9700000000	36.0000000000	39.7373882990	7.4770154580	-0.9519569729	0.5525077202	34673	17.4453012248	135	428.6400000000	0	2017-198	18:07:34.387
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7373882990	7.4958019290	-0.9746278645	-0.3412971406	34674	17.4360760779	136	428.8000000000	0	2017-198	18:07:34.547
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7335642712	7.5083262430	-1.1696112089	-0.9340925316	34673	17.4337697882	137	428.9400000000	0	2017-198	18:07:34.701
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7373882990	7.5083262430	-1.4553287294	-1.1508863031	34673	17.4337697882	138	429.0400000000	0	2017-198	18:07:34.795
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7335642712	7.5271127140	-1.9452525623	-1.1820637315	34672	17.4314634972	139	429.2100000000	0	2017-198	18:07:34.966
0068	12.0000000000	4.9500000000	14.9700000000	36.0000000000	39.7373882990	7.5396370280	-2.0798574667	-0.8360689725	34672	17.4291572049	140	429.3500000000	0	2017-198	18:07:35.107
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7335642712	7.5584234990	-1.9618884918	-0.4884260645	34672	17.4314634972	141	429.4500000000	0	2017-198	18:07:35.309
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7335642712	7.5646856560	-1.6957349992	-0.1049379108	34671	17.4268509114	142	429.5500000000	0	2017-198	18:07:35.309
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7297402688	7.5897342840	-0.9262636961	0.9826915061	34671	17.4245446167	144	429.8500000000	0	2017-198	18:07:35.602
0068	12.0900000000	4.9800000000	14.9700000000	35.5000000000	39.7297402688	7.6085207550	-0.7570009807	1.1792598236	34671	17.4245446167	145	429.9500000000	0	2017-198	18:07:35.775
0068	12.0600000000	4.9800000000	15.0000000000	35.5000000000	39.7259162919	7.6210450690	-0.5605584904	1.3028862483	34671	17.4199320232	146	430.0600000000	0	2017-198	18:07:35.805
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7182684138	7.6335693830	-0.3369465619	1.4175942214	34671	17.4153194246	147	430.1700000000	0	2017-198	18:07:35.915
0068	12.0900000000	4.9500000000	14.9700000000	35.5000000000	39.7182684138	7.6460936970	-0.0756032329	1.4101451141	34670	17.4130131232	148	430.2600000000	0	2017-198	18:07:36.085
0068	12.0300000000	4.9500000000	14.9700000000	36.0000000000	39.7220923401	7.6523558540	0.2128807023	1.4310028027	34670	17.4084005165	149	430.3700000000	0	2017-198	18:07:36.115
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7182684138	7.6648801680	0.4439311790	1.3863084725	34670	17.4037879043	150	430.4800000000	0	2017-198	18:07:36.225
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7144445127	7.6836666390	0.5722776611	1.3490652508	34670	17.4084005165	151	430.5800000000	0	2017-198	18:07:36.395
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7182684138	7.7024531100	0.5843567823	1.3088446680	34669	17.4060942111	152	430.6800000000	0	2017-198	18:07:36.425
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7182684138	7.7275017380	0.3729585566	1.2284100344	34669	17.4014815961	153	430.8400000000	0	2017-198	18:07:36.595
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7106206370	7.7212395810	0.0225779580	1.1479841102	34669	17.4014815961	154	430.9900000000	0	2017-198	18:07:36.749
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7106206370	7.7462882090	-0.2311953981	1.0556539746	34669	17.4014815961	155	431.0800000000	0	2017-198	18:07:36.827
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7067967865	7.7588125230	-0.4925649646	0.9484462898	34669	17.3922563491	156	431.1800000000	0	2017-198	18:07:37.045
0068	12.0600000000	4.9800000000	15.0000000000	35.5000000000	39.7106206370	7.7838611510	-0.7343332695	0.8040381952	34668	17.3853373986	157	431.2900000000	0	2017-198	18:07:37.045
0068	12.0600000000	4.9500000000	14.9700000000	36.0000000000	39.7106206370	7.7838611510	-0.9383545969	0.6537049921	34668	17.3807247575	158	431.3900000000	0	2017-198	18:07:37.155
0068	12.1200000000	4.9800000000	14.9700000000	35.5000000000	39.7067967865	7.7963854650	-1.1000794535	0.5882228274	34668	17.3807247575	159	431.4900000000	0	2017-198	18:07:37.342
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7106206370	7.8151719360	-1.2225178926	0.5822701901	34668	17.3784184347	160	431.6000000000	0	2017-198	18:07:37.342
0068	12.0000000000	4.9500000000	14.9700000000	35.5000000000	39.6991491623	7.8652691920	-1.3041488857	0.9112250206	34667	17.3784184347	162	431.9000000000	0	2017-198	18:07:37.650
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.8652691920	-1.2708912961	1.1003284130	34667	17.3784184347	163	432.0000000000	0	2017-198	18:07:37.813
0068	12.0300000000	4.9500000000	14.9700000000	35.5000000000	39.7029729616	7.8840556630	-1.1998433787	1.3639623154	34667	17.3761121104	164	432.1100000000	0	2017-198	18:07:37.853
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	7.8777935060	-1.1091486362	1.6843214483	34666	17.3761121104	165	432.2100000000	0	2017-198	18:07:37.963
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.8715313490	-1.0229935407	2.0525323552	34667	17.3761121104	166	432.3100000000	0	2017-198	18:07:38.133
0068	12.0900000000	4.9800000000	15.0000000000	35.5000000000	39.7029729616	7.8840556630	-0.9171955824	2.4358440201	34666	17.3761121104	167	432.4200000000	0	2017-198	18:07:38.163
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.8965799770	-0.8159385802	2.8342794706	34666	17.3761121104	168	432.5200000000	0	2017-198	18:07:38.273
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.8903178200	-0.7237551177	3.1507918520	34666	17.3714994570	169	432.6200000000	0	2017-198	18:07:38.443
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.8965799770	-0.6466879035	3.3598830558	34666	17.3691931280	170	432.7300000000	0	2017-198	18:07:38.473
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.8840556630	-0.5635804941	3.5346684660	34665	17.3645804653	171	432.8900000000	0	2017-198	18:07:38.633
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7067967865	7.8903178200	-0.5046524846	3.5421388390	34666	17.3599677962	172	433.0300000000	0	2017-198	18:07:38.781
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7067967865	7.8903178200	-0.4774556971	3.4241156769	34665	17.3622741315	173	433.1200000000	0	2017-198	18:07:38.875
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.7067967865	7.8840556630	-0.4532811755	3.2598106756	34665	17.3622741315	174	433.2200000000	0	2017-198	18:07:39.047
0068	12.0900000000	4.9500000000	14.9700000000	35.5000000000	39.7067967865	7.8965799770	-0.4094658157	2.9940118662	34665	17.3622741315	175	433.3300000000	0	2017-198	18:07:39.078
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7067967865	7.8840556630	-0.3580976605	2.6492118071	34664	17.3622741315	176	433.4400000000	0	2017-198	18:07:39.187
0068	12.0300000000	4.9500000000	14.9700000000	35.5000000000	39.7067967865	7.9028421340	-0.3097527164	2.2747396003	34664	17.3622741315	177	433.5300000000	0	2017-198	18:07:39.359
0068	12.0300000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.9028421340	-0.2493236566	1.8080319111	34664	17.3645804653	178	433.6400000000	0	2017-198	18:07:39.390
0068	12.0900000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.9091042910	-0.1148774512	0.6120338546	34663	17.3645804653	180	433.9400000000	0	2017-198	18:07:39.688
0068	12.1200000000	4.9500000000	14.9700000000	36.0000000000	39.7029729616	7.9216286050	-0.0816453555	0.2817241469	34663	17.3668867975	181	434.0400000000	0	2017-198	18:07:39.861
0068	12.0900000000	4.9800000000	15.0000000000	35.5000000000	39.7029729616	7.9278907620	-0.0559664970	-0.0127522143	34663	17.3668867975	182	434.1500000000	0	2017-198	18:07:39.891
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.9341529190	-0.0287775813	-0.2536003254	34663	17.3668867975	183	434.2600000000	0	2017-198	18:07:40.001
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	7.9341529190	-0.0272670999	-0.2818428076	34663	17.3668867975	184	434.3600000000	0	2017-198	18:07:40.171
0068	12.0600000000	4.9800000000	15.0000000000	35.5000000000	39.7029729616	7.9466772330	-0.0302880641	-0.2119778599	34663	17.3668867975	185	434.4600000000	0	2017-198	18:07:40.211
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.9466772330	-0.0408614849	-0.0588464977	34662	17.3691931280	186	434.5700000000	0	2017-198	18:07:40.321
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.6991491623	7.9404150760	-0.0589875171	0.1552931833	34663	17.3691931280	187	434.6600000000	0	2017-198	18:07:40.481
0068	12.0300000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.9717258610	-0.0771137614	0.4394212304	34662	17.3714994570	188	434.7700000000	0	2017-198	18:07:40.511
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.9529393900	-0.1148774512	0.9112250206	34662	17.3691931280	189	434.9300000000	0	2017-198	18:07:40.681
0068	12.0900000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	7.9842501750	-0.1632163170	1.3133135141	34661	17.3691931280	190	435.0800000000	0	2017-198	18:07:40.835
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	7.9654637040	-0.2055140614	1.5785131641	34661	17.3714994570	191	435.1700000000	0	2017-198	18:07:40.929
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7106206370	7.9842501750	-0.2644307007	1.8661680292	34661	17.3691931280	192	435.3400000000	0	2017-198	18:07:41.100
0068	12.0300000000	4.9800000000	14.9700000000	35.5000000000	39.7067967865	7.9967744890	-0.3263711209	2.2240287523	34660	17.3714994570	194	435.5700000000	0	2017-198	18:07:41.397
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7067967865	8.0030366460	-0.3067312074	2.2255201986	34660	17.3691931280	195	435.6900000000	0	2017-198	18:07:41.427
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7106206370	8.0280852740	-0.1617057046	1.8721309648	34659	17.3691931280	197	435.9900000000	0	2017-198	18:07:41.734
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7106206370	8.0406095880	-0.1133668859	1.7394669442	34659	17.3691931280	198	436.0800000000	0	2017-198	18:07:41.907
0068	12.0900000000	4.9800000000	15.0000000000	36.0000000000	39.7106206370	8.0406095880	-0.0740927059	1.5546711224	34659	17.3691931280	199	436.1900000000	0	2017-198	18:07:41.937
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7067967865	8.0531339020	-0.0544559892	1.3550240408	34659	17.3714994570	200	436.3000000000	0	2017-198	18:07:42.047
0068	12.0000000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	8.0468717450	-0.0363300100	1.1286236144	34659	17.3714994570	201	436.4000000000	0	2017-198	18:07:42.217
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	8.0531339020	-0.0257566201	0.8948482536	34658	17.3645804653	202	436.5100000000	0	2017-198	18:07:42.247
0068	12.0300000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	8.0656582160	-0.0559664970	0.8174357016	34658	17.3576614592	203	436.6100000000	0	2017-198	18:07:42.357
0068	12.0900000000	4.9500000000	14.9700000000	35.5000000000	39.7029729616	8.0719203730	-0.0876875017	0.7549160747	34658	17.3576614592	204	436.7100000000	0	2017-198	18:07:42.527
0068	12.0600000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	8.0844446870	-0.1224302996	0.6551932903	34658	17.3599677962	205	436.8200000000	0	2017-198	18:07:42.557
0068	12.0300000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	8.0844446870	-0.2100460311	0.5837583449	34658	17.3553551205	206	436.9800000000	0	2017-198	18:07:42.727
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	8.1032311580	-0.3218388111	0.6656114615	34658	17.3553551205	207	437.1200000000	0	2017-198	18:07:42.881
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	8.1157554720	-0.4064441124	0.7668241689	34657	17.3599677962	208	437.2100000000	0	2017-198	18:07:42.959
0068	12.0000000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	8.1094933150	-0.4955868358	0.8948482536	34657	17.3599677962	209	437.3100000000	0	2017-198	18:07:43.177
0068	12.0600000000	4.9800000000	15.0000000000	36.0000000000	39.7029729616	8.1282797860	-0.5771795836	1.0288506018	34657	17.3622741315	210	437.4200000000	0	2017-198	18:07:43.177
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	8.1282797860	-0.6497100750	1.2433046798	34656	17.3622741315	211	437.5300000000	0	2017-198	18:07:43.276
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	8.1220176290	-0.6859765930	1.4771897678	34657	17.3599677962	212	437.6200000000	0	2017-198	18:07:43.446
0068	12.0600000000	4.9500000000	15.0000000000	36.0000000000	39.6991491623	8.1345419430	-0.7056213110	1.6783600179	34656	17.3576614592	213	437.7300000000	0	2017-198	18:07:43.476
0068	12.0000000000	4.9800000000	14.9700000000	35.5000000000	39.6991491623	8.1658527280	-0.5605584904	2.0734080658	34656	17.3553551205	215	438.0300000000	0	2017-198	18:07:43.781
0068	12.0900000000	4.9500000000	15.0000000000	35.5000000000	39.6991491623	8.1721148850	-0.4774556971	2.1375299802	34656	17.3553551205	216	438.1200000000	0	2017-198	18:07:43.955
0068	12.0900000000	4.9800000000	14.9700000000	35.5000000000	39.6991491623	8.1721148850	-0.3656516942	2.1792867537	34656	17.3553551205	217	438.2400000000	0	2017-198	18:07:43.985
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6991491623	8.1721148850	-0.2598985720	2.1792867537	34656	17.3530487802	218	438.3400000000	0	2017-198	18:07:44.095
0068	12.0900000000	4.9800000000	14.9700000000	35.5000000000	39.7029729616	8.1783770420	-0.1647269308	2.1449863751	34655	17.3553551205	219	438.4400000000	0	2017-198	18:07:44.265
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	8.2034256700	-0.0680506127	2.0555145638	34655	17.3530487802	220	438.5500000000	0	2017-198	18:07:44.295
0068	12.1200000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	8.1909013560	-0.0030995989	1.9839448563	34655	17.3530487802	221	438.6600000000	0	2017-198	18:07:44.405
0068	12.0300000000	4.9500000000	14.9700000000	35.5000000000	39.7029729616	8.1909013560	0.0301300996	1.9630716546	34655	17.3553551205	222	438.7600000000	0	2017-198	18:07:44.575
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.7029729616	8.2159499840	0.0452342724	1.9123820303	34654	17.3576614592	223	438.8600000000	0	2017-198	18:07:44.605
0068	12.1200000000	4.9800000000	14.9700000000	36.0000000000	39.6953253883	8.2159499840	0.0452342724	1.6679276299	34654	17.3530487802	224	439.0200000000	0	2017-198	18:07:44.768
