Sample Name, DR01P0
Time, 2017/07/12 05:29:33
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, 0.0098, 97.77
391.0, 0.0097, 97.79
392.0, 0.0096, 97.81
393.0, 0.0096, 97.81
394.0, 0.0095, 97.83
395.0, 0.0096, 97.82
396.0, 0.0094, 97.85
397.0, 0.0095, 97.84
398.0, 0.0094, 97.87
399.0, 0.0093, 97.89
400.0, 0.0093, 97.88
401.0, 0.0091, 97.92
402.0, 0.0091, 97.93
403.0, 0.0090, 97.94
404.0, 0.0090, 97.94
405.0, 0.0090, 97.95
406.0, 0.0089, 97.97
407.0, 0.0089, 97.98
408.0, 0.0088, 97.99
409.0, 0.0089, 97.98
410.0, 0.0088, 97.99
411.0, 0.0087, 98.02
412.0, 0.0087, 98.01
413.0, 0.0086, 98.04
414.0, 0.0087, 98.02
415.0, 0.0087, 98.02
416.0, 0.0086, 98.05
417.0, 0.0086, 98.03
418.0, 0.0086, 98.05
419.0, 0.0086, 98.05
420.0, 0.0085, 98.06
421.0, 0.0084, 98.07
422.0, 0.0085, 98.07
423.0, 0.0084, 98.09
424.0, 0.0084, 98.09
425.0, 0.0084, 98.10
426.0, 0.0083, 98.10
427.0, 0.0082, 98.12
428.0, 0.0082, 98.12
429.0, 0.0081, 98.15
430.0, 0.0081, 98.16
431.0, 0.0081, 98.15
432.0, 0.0080, 98.18
433.0, 0.0080, 98.17
434.0, 0.0080, 98.18
435.0, 0.0079, 98.19
436.0, 0.0079, 98.19
437.0, 0.0079, 98.19
438.0, 0.0079, 98.19
439.0, 0.0079, 98.20
440.0, 0.0078, 98.21
441.0, 0.0079, 98.20
442.0, 0.0079, 98.20
443.0, 0.0079, 98.19
444.0, 0.0078, 98.21
445.0, 0.0078, 98.21
446.0, 0.0078, 98.22
447.0, 0.0077, 98.24
448.0, 0.0077, 98.24
449.0, 0.0075, 98.28
450.0, 0.0075, 98.28
451.0, 0.0078, 98.23
452.0, 0.0078, 98.23
453.0, 0.0078, 98.23
454.0, 0.0077, 98.25
455.0, 0.0076, 98.27
456.0, 0.0076, 98.26
457.0, 0.0076, 98.27
458.0, 0.0076, 98.27
459.0, 0.0077, 98.25
460.0, 0.0075, 98.28
461.0, 0.0076, 98.28
462.0, 0.0075, 98.29
463.0, 0.0075, 98.29
464.0, 0.0075, 98.28
465.0, 0.0075, 98.30
466.0, 0.0075, 98.29
467.0, 0.0074, 98.31
468.0, 0.0074, 98.31
469.0, 0.0075, 98.29
470.0, 0.0074, 98.32
471.0, 0.0074, 98.30
472.0, 0.0074, 98.31
473.0, 0.0074, 98.32
474.0, 0.0074, 98.32
475.0, 0.0074, 98.32
476.0, 0.0074, 98.31
477.0, 0.0073, 98.33
478.0, 0.0073, 98.32
479.0, 0.0073, 98.33
480.0, 0.0072, 98.34
481.0, 0.0073, 98.34
482.0, 0.0072, 98.35
483.0, 0.0073, 98.34
484.0, 0.0073, 98.34
485.0, 0.0072, 98.35
486.0, 0.0073, 98.34
487.0, 0.0072, 98.35
488.0, 0.0072, 98.35
489.0, 0.0072, 98.35
490.0, 0.0072, 98.36
491.0, 0.0072, 98.36
492.0, 0.0071, 98.37
493.0, 0.0072, 98.37
494.0, 0.0071, 98.38
495.0, 0.0071, 98.38
496.0, 0.0071, 98.37
497.0, 0.0071, 98.37
498.0, 0.0072, 98.36
499.0, 0.0071, 98.38
500.0, 0.0071, 98.39
501.0, 0.0070, 98.40
502.0, 0.0070, 98.39
503.0, 0.0070, 98.40
504.0, 0.0070, 98.40
505.0, 0.0070, 98.39
506.0, 0.0071, 98.38
507.0, 0.0070, 98.39
508.0, 0.0070, 98.39
509.0, 0.0070, 98.40
510.0, 0.0071, 98.38
511.0, 0.0070, 98.41
512.0, 0.0070, 98.40
513.0, 0.0070, 98.39
514.0, 0.0070, 98.40
515.0, 0.0070, 98.40
516.0, 0.0069, 98.42
517.0, 0.0069, 98.42
518.0, 0.0069, 98.42
519.0, 0.0069, 98.43
520.0, 0.0069, 98.43
521.0, 0.0068, 98.44
522.0, 0.0069, 98.43
523.0, 0.0068, 98.44
524.0, 0.0069, 98.43
525.0, 0.0069, 98.41
526.0, 0.0069, 98.42
527.0, 0.0069, 98.42
528.0, 0.0069, 98.43
529.0, 0.0069, 98.43
530.0, 0.0068, 98.44
531.0, 0.0068, 98.46
532.0, 0.0068, 98.45
533.0, 0.0068, 98.45
534.0, 0.0068, 98.45
535.0, 0.0069, 98.43
536.0, 0.0067, 98.46
537.0, 0.0069, 98.41
538.0, 0.0069, 98.42
539.0, 0.0068, 98.44
540.0, 0.0069, 98.43
541.0, 0.0068, 98.46
542.0, 0.0069, 98.43
543.0, 0.0068, 98.45
544.0, 0.0067, 98.47
545.0, 0.0068, 98.44
546.0, 0.0067, 98.47
547.0, 0.0068, 98.45
548.0, 0.0067, 98.46
549.0, 0.0067, 98.46
550.0, 0.0067, 98.47
551.0, 0.0067, 98.47
552.0, 0.0067, 98.47
553.0, 0.0067, 98.46
554.0, 0.0067, 98.46
555.0, 0.0067, 98.47
556.0, 0.0067, 98.47
557.0, 0.0067, 98.48
558.0, 0.0067, 98.46
559.0, 0.0067, 98.47
560.0, 0.0066, 98.49
561.0, 0.0067, 98.47
562.0, 0.0067, 98.47
563.0, 0.0067, 98.47
564.0, 0.0067, 98.48
565.0, 0.0066, 98.48
566.0, 0.0067, 98.47
567.0, 0.0066, 98.50
568.0, 0.0066, 98.49
569.0, 0.0066, 98.49
570.0, 0.0066, 98.50
571.0, 0.0066, 98.49
572.0, 0.0065, 98.51
573.0, 0.0065, 98.51
574.0, 0.0067, 98.47
575.0, 0.0066, 98.49
576.0, 0.0067, 98.47
577.0, 0.0065, 98.51
578.0, 0.0066, 98.48
579.0, 0.0066, 98.50
580.0, 0.0066, 98.50
581.0, 0.0066, 98.50
582.0, 0.0065, 98.51
583.0, 0.0065, 98.50
584.0, 0.0065, 98.52
585.0, 0.0065, 98.51
586.0, 0.0066, 98.50
587.0, 0.0065, 98.52
588.0, 0.0065, 98.52
589.0, 0.0065, 98.51
590.0, 0.0065, 98.52
591.0, 0.0066, 98.49
592.0, 0.0065, 98.50
593.0, 0.0065, 98.52
594.0, 0.0066, 98.49
595.0, 0.0065, 98.51
596.0, 0.0066, 98.50
597.0, 0.0066, 98.50
598.0, 0.0064, 98.54
599.0, 0.0065, 98.51
600.0, 0.0065, 98.52
601.0, 0.0065, 98.52
602.0, 0.0065, 98.51
603.0, 0.0065, 98.52
604.0, 0.0065, 98.52
605.0, 0.0064, 98.53
606.0, 0.0065, 98.52
607.0, 0.0065, 98.52
608.0, 0.0065, 98.51
609.0, 0.0065, 98.52
610.0, 0.0065, 98.52
611.0, 0.0065, 98.52
612.0, 0.0065, 98.51
613.0, 0.0064, 98.53
614.0, 0.0065, 98.52
615.0, 0.0065, 98.51
616.0, 0.0064, 98.53
617.0, 0.0064, 98.53
618.0, 0.0064, 98.54
619.0, 0.0065, 98.52
620.0, 0.0065, 98.52
621.0, 0.0064, 98.53
622.0, 0.0064, 98.53
623.0, 0.0064, 98.54
624.0, 0.0064, 98.53
625.0, 0.0064, 98.53
626.0, 0.0064, 98.54
627.0, 0.0064, 98.54
628.0, 0.0064, 98.54
629.0, 0.0064, 98.54
630.0, 0.0064, 98.55
631.0, 0.0063, 98.56
632.0, 0.0063, 98.55
633.0, 0.0064, 98.54
634.0, 0.0063, 98.56
635.0, 0.0064, 98.53
636.0, 0.0063, 98.55
637.0, 0.0063, 98.55
638.0, 0.0063, 98.55
639.0, 0.0063, 98.56
640.0, 0.0063, 98.57
641.0, 0.0063, 98.56
642.0, 0.0063, 98.55
643.0, 0.0064, 98.55
644.0, 0.0063, 98.56
645.0, 0.0064, 98.54
646.0, 0.0063, 98.57
647.0, 0.0063, 98.57
648.0, 0.0062, 98.57
649.0, 0.0062, 98.59
650.0, 0.0062, 98.58
651.0, 0.0062, 98.59
652.0, 0.0062, 98.59
653.0, 0.0062, 98.58
654.0, 0.0063, 98.57
655.0, 0.0063, 98.57
656.0, 0.0063, 98.57
657.0, 0.0063, 98.56
658.0, 0.0063, 98.57
659.0, 0.0063, 98.57
660.0, 0.0062, 98.57
661.0, 0.0063, 98.57
662.0, 0.0064, 98.54
663.0, 0.0063, 98.56
664.0, 0.0063, 98.55
665.0, 0.0062, 98.58
666.0, 0.0062, 98.58
667.0, 0.0062, 98.59
668.0, 0.0062, 98.58
669.0, 0.0063, 98.57
670.0, 0.0062, 98.57
671.0, 0.0063, 98.56
672.0, 0.0064, 98.55
673.0, 0.0063, 98.55
674.0, 0.0063, 98.56
675.0, 0.0063, 98.56
676.0, 0.0063, 98.56
677.0, 0.0063, 98.56
678.0, 0.0063, 98.57
679.0, 0.0063, 98.55
680.0, 0.0062, 98.57
681.0, 0.0063, 98.57
682.0, 0.0062, 98.59
683.0, 0.0062, 98.58
684.0, 0.0062, 98.59
685.0, 0.0062, 98.59
686.0, 0.0061, 98.60
687.0, 0.0062, 98.59
688.0, 0.0061, 98.60
689.0, 0.0062, 98.59
690.0, 0.0061, 98.60
691.0, 0.0062, 98.58
692.0, 0.0062, 98.59
693.0, 0.0062, 98.59
694.0, 0.0062, 98.59
695.0, 0.0062, 98.59
696.0, 0.0061, 98.60
697.0, 0.0061, 98.60
698.0, 0.0062, 98.59
699.0, 0.0062, 98.58
700.0, 0.0061, 98.60
701.0, 0.0061, 98.60
702.0, 0.0061, 98.60
703.0, 0.0062, 98.59
704.0, 0.0061, 98.60
705.0, 0.0061, 98.61
706.0, 0.0061, 98.60
707.0, 0.0061, 98.61
708.0, 0.0061, 98.60
709.0, 0.0062, 98.59
710.0, 0.0061, 98.60
711.0, 0.0061, 98.60
712.0, 0.0061, 98.61
713.0, 0.0061, 98.61
714.0, 0.0061, 98.62
715.0, 0.0061, 98.60
716.0, 0.0061, 98.61
717.0, 0.0061, 98.60
718.0, 0.0061, 98.60
719.0, 0.0061, 98.61
720.0, 0.0061, 98.60
721.0, 0.0061, 98.61
722.0, 0.0061, 98.60
723.0, 0.0062, 98.59
724.0, 0.0061, 98.59
725.0, 0.0062, 98.58
726.0, 0.0062, 98.59
727.0, 0.0062, 98.58
728.0, 0.0061, 98.60
729.0, 0.0062, 98.59
730.0, 0.0061, 98.60
731.0, 0.0061, 98.60
732.0, 0.0061, 98.62
733.0, 0.0061, 98.60
734.0, 0.0061, 98.61
735.0, 0.0062, 98.59
736.0, 0.0061, 98.60
737.0, 0.0062, 98.58
738.0, 0.0062, 98.59
739.0, 0.0062, 98.57
740.0, 0.0063, 98.57
741.0, 0.0062, 98.58
742.0, 0.0062, 98.58
743.0, 0.0062, 98.58
744.0, 0.0062, 98.59
745.0, 0.0062, 98.58
746.0, 0.0061, 98.60
747.0, 0.0062, 98.58
748.0, 0.0063, 98.57
749.0, 0.0062, 98.58
750.0, 0.0063, 98.55
751.0, 0.0063, 98.57
752.0, 0.0063, 98.55
753.0, 0.0063, 98.56
754.0, 0.0063, 98.56
755.0, 0.0063, 98.57
756.0, 0.0062, 98.58
757.0, 0.0063, 98.57
758.0, 0.0062, 98.58
759.0, 0.0062, 98.58
760.0, 0.0063, 98.57
761.0, 0.0062, 98.58
762.0, 0.0062, 98.58
763.0, 0.0061, 98.59
764.0, 0.0062, 98.58
765.0, 0.0061, 98.60
766.0, 0.0061, 98.60
767.0, 0.0061, 98.60
768.0, 0.0061, 98.60
769.0, 0.0061, 98.61
770.0, 0.0061, 98.61
771.0, 0.0060, 98.62
772.0, 0.0060, 98.62
773.0, 0.0061, 98.62
774.0, 0.0061, 98.62
775.0, 0.0061, 98.62
776.0, 0.0060, 98.62
777.0, 0.0061, 98.60
778.0, 0.0061, 98.60
779.0, 0.0061, 98.60
780.0, 0.0061, 98.60
781.0, 0.0061, 98.60
782.0, 0.0060, 98.62
783.0, 0.0060, 98.63
784.0, 0.0061, 98.61
785.0, 0.0061, 98.62
786.0, 0.0060, 98.63
787.0, 0.0060, 98.63
788.0, 0.0060, 98.63
789.0, 0.0060, 98.62
790.0, 0.0060, 98.63
791.0, 0.0060, 98.62
792.0, 0.0060, 98.62
793.0, 0.0060, 98.63
794.0, 0.0061, 98.62
795.0, 0.0060, 98.63
796.0, 0.0060, 98.62
797.0, 0.0060, 98.63
798.0, 0.0060, 98.62
799.0, 0.0060, 98.62
800.0, 0.0060, 98.62
801.0, 0.0060, 98.62
802.0, 0.0060, 98.63
803.0, 0.0059, 98.64
804.0, 0.0060, 98.63
805.0, 0.0060, 98.64
806.0, 0.0060, 98.63
807.0, 0.0060, 98.63
808.0, 0.0060, 98.63
809.0, 0.0060, 98.64
810.0, 0.0060, 98.63
811.0, 0.0060, 98.63
812.0, 0.0061, 98.61
813.0, 0.0060, 98.62
814.0, 0.0060, 98.62
815.0, 0.0060, 98.63
816.0, 0.0059, 98.64
817.0, 0.0060, 98.64
818.0, 0.0059, 98.65
819.0, 0.0060, 98.63
820.0, 0.0059, 98.65
821.0, 0.0060, 98.64
822.0, 0.0060, 98.62
823.0, 0.0059, 98.65
824.0, 0.0059, 98.64
825.0, 0.0059, 98.64
826.0, 0.0060, 98.64
827.0, 0.0059, 98.65
828.0, 0.0060, 98.64
829.0, 0.0059, 98.65
830.0, 0.0059, 98.65
831.0, 0.0060, 98.63
832.0, 0.0059, 98.66
833.0, 0.0059, 98.66
834.0, 0.0060, 98.62
835.0, 0.0061, 98.60
836.0, 0.0061, 98.60
837.0, 0.0062, 98.58
838.0, 0.0061, 98.60
839.0, 0.0062, 98.58
840.0, 0.0062, 98.58
841.0, 0.0061, 98.60
842.0, 0.0062, 98.59
843.0, 0.0061, 98.60
844.0, 0.0062, 98.58
845.0, 0.0061, 98.59
846.0, 0.0061, 98.60
847.0, 0.0061, 98.61
848.0, 0.0060, 98.62
849.0, 0.0061, 98.60
850.0, 0.0062, 98.59
